Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,Metlink_Stop_ID,VicgridX,VicgridY,Boardings,Alightings
70,Wattle Park to Waterfront City Docklands,Up,34-Kooyongkoot Rd/Riversdale Rd (Hawthorn),0026,1934,19754,2503395.99,2407968.978,30.90465903,6.867702007
70,Wattle Park to Waterfront City Docklands,Up,34-Kooyongkoot Rd/Riversdale Rd (Hawthorn),0026,1934,19754,2503395.99,2407968.978,17.16925502,6.867702007
70,Wattle Park to Waterfront City Docklands,Up,34-Kooyongkoot Rd/Riversdale Rd (Hawthorn),0026,1934,19754,2503395.99,2407968.978,3.433851004,10.30155301
72,Camberwell to Melbourne University,Down,45-Elizabeth St/Malvern Rd (Malvern),0026,1645,19061,2503117.121,2405405.03,16.69712901,33.39425945
72,Camberwell to Melbourne University,Down,45-Elizabeth St/Malvern Rd (Malvern),0026,1645,19061,2503117.121,2405405.03,10.01827741,3.339425802
72,Camberwell to Melbourne University,Down,45-Elizabeth St/Malvern Rd (Malvern),0026,1645,19061,2503117.121,2405405.03,40.07311082,6.678851604
72,Melbourne University to Camberwell,Up,29-Porter St/Commercial Rd (South Yarra),0026,2629,18931,2499172.691,2406081.491,3.454578638,3.454578638
72,Melbourne University to Camberwell,Up,29-Porter St/Commercial Rd (South Yarra),0026,2629,18931,2499172.691,2406081.491,20.72747111,76.00072646
72,Melbourne University to Camberwell,Up,29-Porter St/Commercial Rd (South Yarra),0026,2629,18931,2499172.691,2406081.491,6.909157276,55.27325749
75,City(La Trobe/Spencer St) to Vermont South,Down,22-Yarra Bvd/Bridge Rd (Richmond),0026,2922,19713,2501236.993,2408991.55,34.27340555,433.0912123
75,City(La Trobe/Spencer St) to Vermont South,Down,22-Yarra Bvd/Bridge Rd (Richmond),0026,2922,19713,2501236.993,2408991.55,40.50493336,93.4729228
75,City(La Trobe/Spencer St) to Vermont South,Down,22-Yarra Bvd/Bridge Rd (Richmond),0026,2922,19713,2501236.993,2408991.55,77.89410067,109.0517426
75,Vermont South to City(La Trobe/Spencer St),Up,49-Wilson Gr/Camberwell Rd (Camberwell),0026,1949,21077,2506294.749,2406288.936,3.255275965,
75,Vermont South to City(La Trobe/Spencer St),Up,49-Wilson Gr/Camberwell Rd (Camberwell),0026,1949,21077,2506294.749,2406288.936,6.510551929,
75,Vermont South to City(La Trobe/Spencer St),Up,49-Wilson Gr/Camberwell Rd (Camberwell),0026,1949,21077,2506294.749,2406288.936,6.510551929,16.27638006
78,Richmond to St Kilda,Up,40-Alma Rd/Chapel St (St Kilda East),0026,4140,19111,2499272.289,2404411.003,6.678851604,13.35770321
78,Richmond to St Kilda,Up,40-Alma Rd/Chapel St (St Kilda East),0026,4140,19111,2499272.289,2404411.003,13.35770321,53.43081355
78,Richmond to St Kilda,Up,40-Alma Rd/Chapel St (St Kilda East),0026,4140,19111,2499272.289,2404411.003,6.678851604,133.5770376
78,St Kilda to Richmond,Down,62-Highett St/Church St (Richmond),0026,4062,18594,2499962.58,2409451.351,10.19100666,
78,St Kilda to Richmond,Down,62-Highett St/Church St (Richmond),0026,4062,18594,2499962.58,2409451.351,6.79400444,27.17601776
78,St Kilda to Richmond,Down,62-Highett St/Church St (Richmond),0026,4062,18594,2499962.58,2409451.351,6.79400444,64.54304123
8,Moreland to Toorak,Up,3-Lincoln Square/Swanston St (Carlton),0026,3003,19491,2496802.701,2410958.834,28.24463439,38.83637238
8,Moreland to Toorak,Up,3-Lincoln Square/Swanston St (Carlton),0026,3003,19491,2496802.701,2410958.834,144.753752,63.55042768
8,Moreland to Toorak,Up,3-Lincoln Square/Swanston St (Carlton),0026,3003,19491,2496802.701,2410958.834,229.4876573,38.83637261
8,Toorak to Moreland,Down,19-Shrine of Remembrance/St Kilda Rd (Melbourne City),0026,3119,19679,2497473.976,2407840.983,87.05538273,70.31396294
8,Toorak to Moreland,Down,19-Shrine of Remembrance/St Kilda Rd (Melbourne City),0026,3119,19679,2497473.976,2407840.983,123.886507,26.78627205
8,Toorak to Moreland,Down,19-Shrine of Remembrance/St Kilda Rd (Melbourne City),0026,3119,19679,2497473.976,2407840.983,177.4590516,16.74142003
82,Footscray to Moonee Ponds,Up,38-Hotham St/Maribyrnong Rd (Moonee Ponds),0026,1338,17937,2492276.259,2414411.436,,4.23185873
82,Footscray to Moonee Ponds,Up,38-Hotham St/Maribyrnong Rd (Moonee Ponds),0026,1338,17937,2492276.259,2414411.436,,16.92743492
82,Moonee Ponds to Footscray,Down,58-Ballarat Rd/Gordon St (Footscray),0026,4258,18501,2490278.344,2412208.066,139.6513405,50.78230476
82,Moonee Ponds to Footscray,Down,58-Ballarat Rd/Gordon St (Footscray),0026,4258,18501,2490278.344,2412208.066,93.10089445,80.40531635
86,Bundoora to City (Docklands),Up,46-East Preston Tram Depot/Plenty Rd (Preston),0026,1846,4509,2500625.725,2417375.487,10.44224954,31.32674837
86,Bundoora to City (Docklands),Up,46-East Preston Tram Depot/Plenty Rd (Preston),0026,1846,4509,2500625.725,2417375.487,27.8459971,45.24974799
86,Bundoora to City (Docklands),Up,46-East Preston Tram Depot/Plenty Rd (Preston),0026,1846,4509,2500625.725,2417375.487,69.61499572,55.69199705
86,City (Docklands) to Bundoora,Down,22-Smith St/Queens Pde (Clifton Hill),0026,2822,6049,2498792.468,2412275.656,15.93816996,19.12580395
86,City (Docklands) to Bundoora,Down,22-Smith St/Queens Pde (Clifton Hill),0026,2822,6049,2498792.468,2412275.656,19.12580395,41.43924189
86,City (Docklands) to Bundoora,Down,22-Smith St/Queens Pde (Clifton Hill),0026,2822,6049,2498792.468,2412275.656,9.562901974,76.50321436
86,City (Docklands) to Bundoora,Down,22-Smith St/Queens Pde (Clifton Hill),0026,2822,6049,2498792.468,2412275.656,6.375267982,3.187633991
96,East Brunswick to St Kilda Beach,Up,3-William St/Bourke St (Melbourne City),0026,3203,17597,2496344.272,2409485.848,26.64422297,353.0359497
96,East Brunswick to St Kilda Beach,Up,3-William St/Bourke St (Melbourne City),0026,3203,17597,2496344.272,2409485.848,301.9678581,1114.616645
96,East Brunswick to St Kilda Beach,Up,3-William St/Bourke St (Melbourne City),0026,3203,17597,2496344.272,2409485.848,774.9028118,428.5279157
96,St Kilda Beach to East Brunswick,Down,4-Queen St/Bourke St (Melbourne City),0026,3304,17886,2496518.576,2409558.064,53.47953129,218.5685353
96,St Kilda Beach to East Brunswick,Down,4-Queen St/Bourke St (Melbourne City),0026,3304,17886,2496518.576,2409558.064,532.4701462,379.0071208
96,St Kilda Beach to East Brunswick,Down,4-Queen St/Bourke St (Melbourne City),0026,3304,17886,2496518.576,2409558.064,460.389024,141.8370192
1,East Coburg to South Melbourne Beach,Up,2-Grattan St/Swanston St (Carlton),0027,3002,19490,2496834.931,2411195.359,16.92743421,20.31292105
1,East Coburg to South Melbourne Beach,Up,2-Grattan St/Swanston St (Carlton),0027,3002,19490,2496834.931,2411195.359,152.3469124,50.78230286
1,East Coburg to South Melbourne Beach,Up,2-Grattan St/Swanston St (Carlton),0027,3002,19490,2496834.931,2411195.359,203.1292176,30.46938157
1,South Melbourne Beach to Coburg,Down,3-Lincoln Square/Swanston St (Carlton),0027,3103,19694,2496790.912,2410930.528,6.577517509,105.2402787
1,South Melbourne Beach to Coburg,Down,3-Lincoln Square/Swanston St (Carlton),0027,3103,19694,2496790.912,2410930.528,49.33138084,233.5018711
1,South Melbourne Beach to Coburg,Down,3-Lincoln Square/Swanston St (Carlton),0027,3103,19694,2496790.912,2410930.528,65.77517414,134.8391085
109,Box Hill to Port Melbourne,Up,29-Barkers Rd/High St (Kew),0027,1729,19742,2502093.401,2409783.053,42.16744995,35.13954163
109,Box Hill to Port Melbourne,Up,29-Barkers Rd/High St (Kew),0027,1729,19742,2502093.401,2409783.053,49.19535828,28.1116333
109,Box Hill to Port Melbourne,Up,29-Barkers Rd/High St (Kew),0027,1729,19742,2502093.401,2409783.053,56.2232666,45.68140411
109,Port Melbourne to Box Hill,Down,7-101 Collins St (Melbourne City),0027,3408,22152,2497394.454,2409638.848,18.32545996,648.7212753
109,Port Melbourne to Box Hill,Down,7-101 Collins St (Melbourne City),0027,3408,22152,2497394.454,2409638.848,124.6131268,667.0467334
109,Port Melbourne to Box Hill,Down,7-101 Collins St (Melbourne City),0027,3408,22152,2497394.454,2409638.848,366.5091987,370.1742887
11,Preston to Victoria Harbour (Docklands),Up,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),0027,1360,4457,2498264.043,2412534.827,,
11,Victoria Harbour (Docklands) to Preston,Down,24-Holden St/St Georges Rd (Fitzroy North),0027,2364,4152,2498812.298,2413434.685,10.88192272,54.40961075
112,Preston to St Kilda,Up,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),0027,1360,4457,2498264.043,2412534.827,26.29797912,
112,Preston to St Kilda,Up,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),0027,1360,4457,2498264.043,2412534.827,36.15972137,13.14898968
112,Preston to St Kilda,Up,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),0027,1360,4457,2498264.043,2412534.827,19.72348452,23.01073194
16,Kew to Melbourne University via St Kilda Beach,Down,54-Wattletree Rd/Glenferrie Rd (Malvern),0027,1454,20529,2502486.148,2404287.911,63.92472625,47.10242987
16,Kew to Melbourne University via St Kilda Beach,Down,54-Wattletree Rd/Glenferrie Rd (Malvern),0027,1454,20529,2502486.148,2404287.911,53.83134699,74.01810408
16,Kew to Melbourne University via St Kilda Beach,Down,54-Wattletree Rd/Glenferrie Rd (Malvern),0027,1454,20529,2502486.148,2404287.911,124.4849846,248.9699743
16,Melbourne University to Kew via St Kilda Beach,Up,132-Princes St/Fitzroy St (St Kilda),0027,2442,22111,2498293.277,2404790.223,,3.049041271
16,Melbourne University to Kew via St Kilda Beach,Up,132-Princes St/Fitzroy St (St Kilda),0027,2442,22111,2498293.277,2404790.223,6.098082542,33.53945398
16,Melbourne University to Kew via St Kilda Beach,Up,132-Princes St/Fitzroy St (St Kilda),0027,2442,22111,2498293.277,2404790.223,,60.98082495
19,City(Elizabeth/Flinders st) to North Coburg,Down,27-Brunswick Tram Depot/Sydney Rd (Brunswick),0027,2427,16720,2496795.881,2415904.133,7.139462471,17.84865618
19,City(Elizabeth/Flinders st) to North Coburg,Down,27-Brunswick Tram Depot/Sydney Rd (Brunswick),0027,2427,16720,2496795.881,2415904.133,71.39462471,82.10381794
19,City(Elizabeth/Flinders st) to North Coburg,Down,27-Brunswick Tram Depot/Sydney Rd (Brunswick),0027,2427,16720,2496795.881,2415904.133,7.139462471,110.6616669
19,North Coburg to City (Elizabeth/Flinders St),Up,14-Cemetery Road West/Royal Pde (Parkville),0027,1414,17332,2496377.984,2412362.972,62.70060253,6.966733456
19,North Coburg to City (Elizabeth/Flinders St),Up,14-Cemetery Road West/Royal Pde (Parkville),0027,1414,17332,2496377.984,2412362.972,125.4012043,6.966733456
19,North Coburg to City (Elizabeth/Flinders St),Up,14-Cemetery Road West/Royal Pde (Parkville),0027,1414,17332,2496377.984,2412362.972,45.28376746,6.966733456
