FID,recorddate,dam,volume_ML,volume_percentfull
386,2020/02/05 12:59:59,Silvan,35492,87.75
387,2020/02/05 12:59:59,Tarago,24424,64.99
388,2020/02/05 12:59:59,Thomson,595761,55.78
389,2020/02/05 12:59:59,Upper Yarra,87062,43.4
390,2020/02/05 12:59:59,Sugarloaf,90552,94.07
391,2020/02/04 12:59:59,Cardinia,230406,80.3
392,2020/02/04 12:59:59,Greenvale,23213,86.48
393,2020/02/04 12:59:59,O'Shannassy,243,7.78
394,2020/02/04 12:59:59,Yan Yean,20783,68.66
395,2020/02/04 12:59:59,Upper Yarra,87186,43.46
396,2020/02/04 12:59:59,Maroondah,20163,90.91
397,2020/02/04 12:59:59,Silvan,35231,87.1
398,2020/02/04 12:59:59,Thomson,596148,55.81
399,2020/02/04 12:59:59,Sugarloaf,90552,94.07
400,2020/02/04 12:59:59,Tarago,24401,64.93
401,2020/01/09 12:59:59,Cardinia,235353,82.02
402,2020/01/19 12:59:59,Cardinia,235178,81.96
403,2020/01/09 12:59:59,Greenvale,22069,82.22
404,2019/12/30 12:59:59,O'Shannassy,240,7.68
405,2020/01/19 12:59:59,Greenvale,22577,84.12
406,2020/01/09 12:59:59,O'Shannassy,190,6.08
407,2019/12/20 12:59:59,Cardinia,239037,83.31
408,2019/12/30 12:59:59,Cardinia,236385,82.38
409,2020/01/19 12:59:59,O'Shannassy,227,7.26
410,2020/01/09 12:59:59,Yan Yean,20831,68.82
411,2019/12/20 12:59:59,Greenvale,21756,81.06
412,2019/12/30 12:59:59,Greenvale,21748,81.03
413,2020/01/19 12:59:59,Yan Yean,20783,68.66
414,2020/01/09 12:59:59,Maroondah,19257,86.82
415,2019/12/20 12:59:59,O'Shannassy,215,6.88
416,2019/12/30 12:59:59,Thomson,599522,56.13
417,2020/01/19 12:59:59,Maroondah,19033,85.81
418,2020/01/09 12:59:59,Silvan,35593,88
419,2019/12/20 12:59:59,Upper Yarra,86308,43.02
420,2019/12/30 12:59:59,Upper Yarra,89241,44.49
421,2020/01/19 12:59:59,Silvan,34396,85.04
422,2020/01/09 12:59:59,Thomson,596318,55.83
423,2019/12/20 12:59:59,Yan Yean,21263,70.25
424,2019/12/30 12:59:59,Yan Yean,21023,69.46
425,2020/01/19 12:59:59,Tarago,24409,64.95
426,2020/01/09 12:59:59,Upper Yarra,88524,44.13
427,2019/12/20 12:59:59,Maroondah,21071,95
428,2019/12/30 12:59:59,Maroondah,20182,90.99
429,2020/01/19 12:59:59,Thomson,594584,55.67
430,2020/01/09 12:59:59,Sugarloaf,91398,94.95
431,2019/12/20 12:59:59,Silvan,36152,89.38
432,2019/12/30 12:59:59,Silvan,35421,87.57
433,2020/01/19 12:59:59,Upper Yarra,88748,44.24
434,2020/01/09 12:59:59,Tarago,24372,64.85
435,2019/12/20 12:59:59,Thomson,605173,56.66
436,2019/12/30 12:59:59,Tarago,24372,64.85
437,2020/01/19 12:59:59,Sugarloaf,91144,94.69
438,2020/01/08 12:59:59,Cardinia,235594,82.11
439,2019/12/20 12:59:59,Sugarloaf,94601,98.28
440,2019/12/30 12:59:59,Sugarloaf,93209,96.83
441,2020/01/18 12:59:59,Cardinia,235232,81.98
442,2020/01/08 12:59:59,Greenvale,22069,82.22
443,2019/12/20 12:59:59,Tarago,24367,64.84
444,2019/12/29 12:59:59,Cardinia,236671,82.48
445,2020/01/18 12:59:59,Greenvale,22512,83.87
446,2020/01/08 12:59:59,O'Shannassy,194,6.21
447,2019/12/19 12:59:59,O'Shannassy,223,7.14
448,2019/12/29 12:59:59,Greenvale,21796,81.21
449,2020/01/18 12:59:59,O'Shannassy,242,7.74
450,2020/01/08 12:59:59,Yan Yean,20831,68.82
451,2019/12/19 12:59:59,Greenvale,21901,81.6
452,2019/12/29 12:59:59,O'Shannassy,240,7.68
453,2020/01/18 12:59:59,Yan Yean,20783,68.66
454,2020/01/08 12:59:59,Upper Yarra,89021,44.38
455,2019/12/19 12:59:59,Upper Yarra,85740,42.74
456,2019/12/29 12:59:59,Upper Yarra,89307,44.52
457,2020/01/18 12:59:59,Maroondah,19070,85.98
458,2020/01/08 12:59:59,Maroondah,19387,87.41
459,2019/12/19 12:59:59,Yan Yean,21311,70.41
460,2019/12/29 12:59:59,Yan Yean,21023,69.46
461,2020/01/18 12:59:59,Silvan,34479,85.24
462,2020/01/08 12:59:59,Silvan,35365,87.43
463,2019/12/19 12:59:59,Cardinia,240091,83.68
464,2019/12/29 12:59:59,Maroondah,20277,91.42
465,2020/01/18 12:59:59,Tarago,24401,64.93
466,2020/01/08 12:59:59,Tarago,24367,64.84
467,2019/12/19 12:59:59,Thomson,606457,56.78
468,2019/12/29 12:59:59,Silvan,35275,87.21
469,2020/01/18 12:59:59,Thomson,593996,55.61
470,2020/01/08 12:59:59,Thomson,596318,55.83
471,2019/12/19 12:59:59,Maroondah,21169,95.44
472,2019/12/29 12:59:59,Tarago,24381,64.87
473,2020/01/18 12:59:59,Upper Yarra,88580,44.16
474,2020/01/08 12:59:59,Sugarloaf,91482,95.04
475,2019/12/19 12:59:59,Silvan,36041,89.11
476,2019/12/29 12:59:59,Thomson,599956,56.17
